date,reach
2023-10-10,R1
2023-10-10,R2
2023-10-11,R3
2023-10-12,R5
2023-10-12,R4
2023-10-30,R1
2023-10-30,R2a
2023-10-31,R4
2023-10-31,R3
2023-11-01,R2b
2023-11-01,R5
2024-09-16,R1
2024-09-16,R2
2024-09-17,R3
2024-09-17,R4
2024-09-18,R6
2024-09-18,R5
2024-09-30,R1
2024-09-30,R2
2024-10-01,R4
2024-10-01,R3
2024-10-02,R6
2024-10-02,R5
2024-10-16,R2
2024-10-15,R1
2024-10-16,R3
2024-10-17,R4
2024-10-17,R5
2024-10-18,R6
2024-10-28,R1
2024-10-29,R3
2024-10-28,R2
2024-10-29,R4
2024-10-30,R6
