date,reach
2001-08-20,R1
2001-08-21,R3
2001-08-22,R2
2001-08-23,R4
2001-08-27,R5
2001-08-28,R6
2001-08-29,R7
2001-09-17,R1
2001-09-18,R2
2001-09-18,R3
2001-09-19,R4
2001-09-20,R5
2001-09-21,R6
2001-10-03,R3
2001-10-15,R1
2001-10-16,R3
2001-10-16,R2
2001-10-17,R4
2001-10-18,R5
2001-10-19,R6
2001-10-31,R3
2002-08-19,R1
2002-08-20,R2
2002-08-20,R3
2002-08-21,R4
2002-08-22,R5
2002-08-23,R6
2002-08-23,R7
2002-09-03,R1
2002-09-04,R2
2002-09-04,R3
2002-09-05,R4
2002-09-05,R5
2002-09-05,R6
2002-09-06,R7
2002-09-17,R1
2002-09-18,R2
2002-09-18,R3
2002-09-19,R4
2002-09-19,R5
2002-09-20,R6
2002-09-20,R7
2002-09-30,R1
2002-10-01,R2
2002-10-01,R3
2002-10-02,R4
2002-10-02,R5
2002-10-03,R6
2002-10-10,R3
2002-10-16,R2
2002-10-16,R3
2002-10-17,R4
2002-10-17,R5
2002-10-18,R6
2002-10-21,R1
2002-10-28,R1
2002-10-29,R2
2002-10-29,R3
2002-10-30,R4
2002-10-30,R5
2002-10-31,R6
2002-11-04,R3
2002-11-12,R1
2002-11-13,R2
2002-11-13,R3
2002-11-14,R4
2002-11-14,R5
2002-11-15,R6
2003-08-19,R1
2003-08-20,R2
2003-08-20,R3
2003-08-21,R4
2003-08-21,R5
2003-08-22,R6
2003-08-22,R7
2003-09-02,R1
2003-09-03,R2
2003-09-03,R3
2003-09-04,R4
2003-09-04,R5
2003-09-04,R6
2003-09-05,R7
2003-09-16,R1
2003-09-17,R2
2003-09-17,R3
2003-09-18,R4
2003-09-18,R5
2003-09-19,R6
2003-09-19,R7
2003-09-30,R1
2003-10-01,R2
2003-10-01,R3
2003-10-02,R4
2003-10-02,R5
2003-10-03,R6
2003-10-14,R1
2003-10-15,R2
2003-10-15,R3
2003-10-16,R4
2003-10-16,R5
2003-10-17,R6
2003-10-28,R1
2003-10-29,R2
2003-10-29,R3
2003-10-30,R4
2003-10-30,R5
2003-10-31,R6
2003-11-14,R1
2003-11-12,R2
2003-11-12,R3
2003-11-13,R4
2003-11-13,R5
2003-11-14,R6
2004-08-17,R1
2004-08-18,R2
2004-08-18,R3
2004-08-19,R4
2004-08-19,R5
2004-08-20,R6
2004-08-20,R7
2004-09-14,R1
2004-09-15,R2
2004-09-15,R3
2004-09-16,R4
2004-09-16,R5
2004-09-17,R6
2004-09-17,R7
2004-09-28,R1
2004-09-29,R2
2004-09-29,R3
2004-09-30,R4
2004-09-30,R5
2004-10-01,R6
2004-10-01,R7
2004-10-12,R1
2004-10-13,R2
2004-10-13,R3
2004-10-14,R4
2004-10-14,R5
2004-10-15,R6
2004-10-27,R1
2004-10-27,R2
2004-10-28,R4
2004-10-28,R5
2004-10-29,R6
2004-11-03,R3
2004-11-08,R1
2004-11-09,R2
2004-11-09,R3
2004-11-10,R4
2004-11-10,R5
2004-11-12,R6
2005-08-08,R1
2005-08-09,R2
2005-08-09,R3
2005-08-10,R4
2005-08-10,R5
2005-08-11,R6
2005-08-11,R7
2005-09-12,R1
2005-09-14,R2
2005-09-14,R3
2005-09-15,R4
2005-09-15,R5
2005-09-16,R6
2005-09-16,R7
2005-09-27,R1
2005-09-28,R2
2005-09-28,R3
2005-09-29,R4
2005-09-29,R5
2005-09-30,R6
2005-09-30,R7
2005-10-11,R1
2005-10-12,R2
2005-10-12,R3
2005-10-13,R4
2005-10-13,R5
2005-10-13,R6
2005-10-25,R1
2005-10-25,R2
2005-10-26,R3
2005-10-26,R4
2005-10-28,R5
2005-10-28,R6
2005-11-07,R1
2005-11-10,R2
2005-11-10,R3
2005-11-14,R4
2005-11-14,R5
2005-11-15,R6
2006-08-28,R1
2006-08-29,R2
2006-08-29,R3
2006-08-30,R4
2006-08-30,R5
2006-08-31,R6
2006-09-01,R7
2006-09-18,R1
2006-09-19,R2
2006-09-19,R3
2006-09-19,R4
2006-09-19,R5
2006-09-21,R6
2006-10-02,R1
2006-10-03,R2A
2006-10-05,R2B
2006-10-03,R3
2006-10-04,R4
2006-10-04,R5
2006-10-06,R6
2006-10-30,R1
2006-10-31,R2
2006-10-31,R3
2006-11-02,R4
2006-11-02,R5
2006-11-03,R6
2007-08-27,R1
2007-08-28,R2
2007-08-28,R3
2007-08-31,R4
2007-08-31,R5
2007-08-30,R6
2007-09-17,R1
2007-09-18,R2
2007-09-18,R3
2007-09-19,R4
2007-09-20,R5
2007-09-20,R6
2007-10-01,R1
2007-10-02,R2A
2007-10-02,R2B
2007-10-03,R3
2007-10-04,R4
2007-10-04,R5
2007-10-04,R6
2007-10-15,R1
2007-10-16,R2A
2007-10-16,R2B
2007-10-17,R3
2007-10-17,R4A
2007-10-18,R4B
2007-10-18,R5
2007-10-19,R6
2007-10-29,R1
2007-10-30,R2
2007-11-07,R3
2007-11-07,R4
2007-10-31,R5
2007-11-02,R6
2008-08-25,R1
2008-08-25,R2
2008-08-26,R3
2008-08-27,R4
2008-08-28,R5
2008-08-28,R6
2008-09-16,R1
2008-09-17,R2
2008-09-17,R3
2008-09-18,R4
2008-09-18,R5
2008-09-19,R6
2008-09-29,R1
2008-09-30,R2A
2008-09-30,R2B
2008-10-01,R3
2008-10-01,R4
2008-10-02,R5
2008-10-03,R6
2008-10-14,R1
2008-10-14,R2
2008-10-15,R3
2008-10-15,R4
2008-10-16,R5
2008-10-16,R6
2008-10-27,R1
2008-10-28,R2
2008-10-30,R6
2008-11-10,R1
2008-11-12,R2
2008-11-12,R3
2008-11-13,R4
2008-11-14,R5
2008-11-14,R6
2009-10-06,R1
2009-10-06,R2A
2009-10-07,R2B
2009-10-07,R3
2009-10-08,R4
2009-10-08,R5
2009-10-09,R6
2009-11-04,R1
2009-11-04,R2
2009-11-05,R3
2009-11-05,R4
2009-11-06,R5
2009-11-06,R6
2010-09-27,R1
2010-09-28,R2
2010-09-29,R3
2010-09-30,R4
2010-09-30,R5
2010-10-01,R6
2010-10-12,R1
2010-10-12,R2
2010-10-13,R2
2010-10-13,R3
2010-10-14,R4
2010-10-14,R5
2010-10-14,R6
2010-10-26,R1
2010-10-26,R2
2010-11-02,R3
2010-10-27,R4
2010-11-04,R5
2010-10-27,R6
2011-09-26,R1
2011-09-27,R2
2011-09-28,R3
2011-09-29,R4
2011-09-29,R5
2011-09-30,R6
2011-10-12,R1
2011-10-12,R2A
2011-10-14,R2B
2011-10-11,R3
2011-10-13,R4
2011-10-13,R5
2011-10-13,R6
2011-10-25,R1
2011-10-25,R2
2011-11-08,R3
2011-11-04,R4
2011-11-04,R5
2011-10-24,R6
2012-09-24,R1A
2012-09-24,R1B
2012-09-25,R2A
2012-09-25,R2B
2012-10-01,R3
2012-09-26,R4
2012-09-27,R5
2012-09-27,R6
2012-10-09,R1A
2012-10-11,R1B
2012-10-11,R2A
2012-10-10,R2B
2012-10-09,R3
2012-10-10,R4
2012-10-12,R5
2012-10-12,R6
2012-10-23,R1A
2012-10-24,R1B
2012-10-25,R2A
2012-10-25,R2B
2012-10-22,R3
2012-10-26,R4
2012-11-06,R4
2012-10-26,R5
2012-11-09,R6
2013-08-14,R1
2013-09-09,R1A
2013-09-09,R1B
2013-09-11,R2A
2013-09-11,R2b/4a
2013-09-10,R3
2013-09-12,R4b
2013-09-12,R5
2013-09-13,R6
2013-09-23,R1A
2013-09-23,R1B
2013-09-24,R2a
2013-09-24,R2b/4a
2013-09-25,R3
2013-09-26,R4b
2013-09-26,R5
2013-09-27,R6
2013-10-21,R1A
2013-10-21,R1B
2013-10-22,R2A
2013-10-22,R2b/4a
2013-10-23,R3
2013-10-24,R4b
2013-10-24,R5
2013-10-25,R6
2014-08-05,R1
2014-09-22,R1
2014-09-23,R2
2014-09-24,R3
2014-09-24,R4
2014-09-25,R5
2014-10-06,R1
2014-10-06,R2
2014-10-07,R3
2014-10-08,R4
2014-10-09,R5
2014-10-09,R6
2014-10-20,R1
2014-10-21,R2
2014-10-20,R3
2014-10-22,R4
2014-10-23,R5
2014-10-24,R6
2015-09-24,R6
2015-09-24,R5
2015-09-23,R4
2015-09-23,R3
2015-09-22,R2
2015-09-21,R1
2015-10-08,R6
2015-10-08,R5
2015-10-07,R4
2015-10-06,R2
2015-10-05,R1
2015-10-20,R1
2015-10-20,R2
2015-10-15,R5
2015-10-22,R6
2015-10-15,R4
2015-11-04,R2
2016-08-11,R1
2016-08-12,R2
2016-09-19,R1
2016-09-20,R1
2016-09-21,R2
2016-09-22,R4
2016-09-23,R5
2016-09-23,R6
2016-10-03,R1A
2016-10-04,R1B
2016-10-05,R2
2016-10-06,R3
2016-10-06,R4
2016-10-07,R6
2016-10-07,R5
2016-10-17,R1
2016-10-20,R2
2016-10-19,R4
2016-10-19,R5
2016-10-21,R6
2017-10-02,R1
2017-10-02,R2
2017-10-03,R3
2017-10-03,R4
2017-10-05,R5
2017-10-05,R6
2017-10-16,R1
2017-10-16,R2
2017-10-17,R3
2017-10-17,R4
2017-10-18,R5
2017-10-18,R6
2017-10-26,R1
2017-10-27,R2
2017-10-25,R3
2017-10-25,R4
2018-09-11,R1
2018-09-12,R2A
2018-09-11,R3
2018-09-13,R2B/4
2018-09-14,R6B
2018-10-01,R1
2018-10-01,R2
2018-10-02,R3
2018-10-03,R4
2018-10-09,R5
2018-10-09,R6
2018-10-15,R1
2018-10-15,R2
2018-10-16,R3
2018-10-17,R4
2018-10-19,R5
2018-10-19,R6
2018-11-06,R1
2018-11-06,R2
2018-11-07,R4
2019-09-16,R3
2019-09-17,R1
2019-09-18,R2
2019-09-23,R4
2019-09-30,R1
2019-10-01,R2
2019-10-02,R3
2019-10-03,R4
2019-10-04,R5
2019-10-04,R6
2019-10-15,R1
2019-10-16,R2
2019-10-17,R3
2019-10-17,R4
2019-10-18,R5
2019-10-18,R6
2019-11-05,R3
2019-11-06,R4
2019-11-07,R2
2019-11-08,R1
2020-09-01,R3
2020-09-02,R1A
2020-09-04,R1B
2020-09-04,R2
2020-09-28,R4
2020-10-07,R6
2020-10-14,R5
2020-11-02,R1A
2020-11-03,R3
2020-11-04,R1B
2020-11-04,R2
2020-11-05,R4
2021-09-27,R1
2021-09-28,R2
2021-09-29,R3
2021-09-30,R5
2021-09-30,R4
2021-10-01,R6
2021-10-18,R1
2021-10-19,R3
2021-10-19,R2
2021-10-20,R4
2021-11-01,R1
2021-11-02,R3
2021-11-02,R2
2021-11-03,R4
2021-11-05,R6
2021-11-08,R5
2022-09-13,R1B
2022-09-13,R3
2022-09-14,R4
2022-09-16,R2
2022-10-11,R1B
2022-10-11,R2
2022-10-12,R3
2022-10-13,R4
2022-10-13,R5
2022-10-14,R6
2022-10-31,R1
2022-11-01,R2
2022-11-03,R2
2022-11-03,R3
2022-11-04,R4
2023-09-11,R2
2023-09-11,R1
2023-09-12,R4
2023-09-12,R3
2023-09-13,R5
2023-09-13,R6
2023-09-25,R1
2023-09-25,R2
2023-09-26,R3
2023-09-26,R4
2023-09-27,R6
2023-09-27,R5
